ID	Año	Extension	Densidad	Calcificacion	Estado	Autor	sitio	Lugar escaneo	Observaciones	sexo
Mac5_paper	2014	1.08	1.73	1.8684	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2013	1.15	1.46	1.679	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2012	1.01	1.35	1.3635	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2011	1.12	1.56	1.7472	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2010	0.88	1.56	1.3728	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2009	1.28	1.61	2.0608	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2008	0.81	1.6	1.296	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2007	1.37	1.72	2.3564	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2006	1	1.73	1.73	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2005	0.59	1.76	1.0384	Vivo	Mac	Catedral	Cancun		Macho
Mac5_paper	2004	1.2	1.82	2.184	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2014	0.8	1.978010657	1.582408525	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2013	0.86	1.902591572	1.636228752	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2012	1.38	2.02226218	2.790721808	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2011	0.93	1.983026923	1.844215039	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2010	1.12	1.779430053	1.992961659	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2009	1.26	1.65409893	2.084164652	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2008	0.93	1.63549218	1.521007727	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2007	1.13	1.5768133	1.781799029	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2006	0.91	1.535146899	1.396983678	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2005	1.32	1.538500534	2.030820705	Vivo	Mac	Catedral	Cancun		Macho
Mac6_11	2004	1.03	1.512092967	1.557455756	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2014	0.78	1.97	1.5366	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2013	1.12	2.1	2.352	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2012	0.83	2.05	1.7015	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2011	1.2	2.02	2.424	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2010	1.32	1.87	2.4684	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2009	1	1.77	1.77	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2008	1	1.64	1.64	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2007	1.23	1.74	2.1402	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2006	1.2	1.68	2.016	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2005	1.01	1.68	1.6968	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2004	1.15	1.57	1.8055	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2003	0.9	1.74	1.566	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2002	0.83	1.6	1.328	Vivo	Mac	Catedral	Cancun		Macho
Mac6_paper	2001	1	1.71	1.71	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2014	1.2	1.782690215	2.139228258	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2013	1.38	1.623050811	2.239810119	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2012	1.34	1.550083396	2.077111751	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2011	1.26	1.458632128	1.837876481	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2010	0.86	1.535701408	1.320703211	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2009	0.75	1.511876842	1.133907632	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2008	0.86	1.46168148	1.257046073	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2007	1.19	1.368787152	1.62885671	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2006	0.97	1.394585154	1.3527476	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2005	1.49	1.324156787	1.972993613	Vivo	Mac	Catedral	Cancun		Macho
Mac8_11	2004	1.03	1.248875452	1.286341715	Vivo	Mac	Catedral	Cancun		Macho
Mac8_paper	2014	1.3	1.75	2.275	Vivo	Mac	Catedral	Cancun		Macho
Mac8_paper	2013	1.15	1.51	1.7365	Vivo	Mac	Catedral	Cancun		Macho
Mac8_paper	2012	1.08	1.53	1.6524	Vivo	Mac	Catedral	Cancun		Macho
Mac8_paper	2011	1.13	1.43	1.6159	Vivo	Mac	Catedral	Cancun		Macho
Mac8_paper	2010	0.63	1.29	0.8127	Vivo	Mac	Catedral	Cancun		Macho
Mac8_paper	2009	0.81	1.42	1.1502	Vivo	Mac	Catedral	Cancun		Macho
